Register Name,Field Name,Bits,TD1:F342ype,Reset Value,Description
,C2H_GPIO_2_4,4,ro,0x0,
,C2H_GPIO_2_3,3,ro,0x0,
,C2H_GPIO_2_2,2,ro,0x0,
,C2H_GPIO_2_1,1,ro,0x0,
,C2H_GPIO_2_0,0,ro,0x0,
C2H_GPIO_3_REG,,,,,
,C2H_GPIO_3_31,31,ro,0x0,
,C2H_GPIO_3_30,30,ro,0x0,
,C2H_GPIO_3_29,29,ro,0x0,
,C2H_GPIO_3_28,28,ro,0x0,
,C2H_GPIO_3_27,27,ro,0x0,
,C2H_GPIO_3_26,26,ro,0x0,
,C2H_GPIO_3_25,25,ro,0x0,
,C2H_GPIO_3_24,24,ro,0x0,
,C2H_GPIO_3_23,23,ro,0x0,
,C2H_GPIO_3_22,22,ro,0x0,
,C2H_GPIO_3_21,21,ro,0x0,
,C2H_GPIO_3_20,20,ro,0x0,
,C2H_GPIO_3_19,19,ro,0x0,
,C2H_GPIO_3_18,18,ro,0x0,
,C2H_GPIO_3_17,17,ro,0x0,
,C2H_GPIO_3_16,16,ro,0x0,
,C2H_GPIO_3_15,15,ro,0x0,
,C2H_GPIO_3_14,14,ro,0x0,
,C2H_GPIO_3_13,13,ro,0x0,
,C2H_GPIO_3_12,12,ro,0x0,
,C2H_GPIO_3_11,11,ro,0x0,
,C2H_GPIO_3_10,10,ro,0x0,
,C2H_GPIO_3_9,9,ro,0x0,
,C2H_GPIO_3_8,8,ro,0x0,
,C2H_GPIO_3_7,7,ro,0x0,
,C2H_GPIO_3_6,6,ro,0x0,
,C2H_GPIO_3_5,5,ro,0x0,
,C2H_GPIO_3_4,4,ro,0x0,
,C2H_GPIO_3_3,3,ro,0x0,
,C2H_GPIO_3_2,2,ro,0x0,
,C2H_GPIO_3_1,1,ro,0x0,
,C2H_GPIO_3_0,0,ro,0x0,
C2H_GPIO_4_REG,,,,,
,C2H_GPIO_4_31,31,ro,0x0,
,C2H_GPIO_4_30,30,ro,0x0,
,C2H_GPIO_4_29,29,ro,0x0,
,C2H_GPIO_4_28,28,ro,0x0,
,C2H_GPIO_4_27,27,ro,0x0,
,C2H_GPIO_4_26,26,ro,0x0,
,C2H_GPIO_4_25,25,ro,0x0,
,C2H_GPIO_4_24,24,ro,0x0,
,C2H_GPIO_4_23,23,ro,0x0,
,C2H_GPIO_4_22,22,ro,0x0,
,C2H_GPIO_4_21,21,ro,0x0,
,C2H_GPIO_4_20,20,ro,0x0,
,C2H_GPIO_4_19,19,ro,0x0,
,C2H_GPIO_4_18,18,ro,0x0,
,C2H_GPIO_4_17,17,ro,0x0,
,C2H_GPIO_4_16,16,ro,0x0,
,C2H_GPIO_4_15,15,ro,0x0,
,C2H_GPIO_4_14,14,ro,0x0,
,C2H_GPIO_4_13,13,ro,0x0,
,C2H_GPIO_4_12,12,ro,0x0,
,C2H_GPIO_4_11,11,ro,0x0,
,C2H_GPIO_4_10,10,ro,0x0,
,C2H_GPIO_4_9,9,ro,0x0,
,C2H_GPIO_4_8,8,ro,0x0,
,C2H_GPIO_4_7,7,ro,0x0,
,C2H_GPIO_4_6,6,ro,0x0,
,C2H_GPIO_4_5,5,ro,0x0,
,C2H_GPIO_4_4,4,ro,0x0,
,C2H_GPIO_4_3,3,ro,0x0,
,C2H_GPIO_4_2,2,ro,0x0,
,C2H_GPIO_4_1,1,ro,0x0,
,C2H_GPIO_4_0,0,ro,0x0,
C2H_GPIO_5_REG,,,,,
,C2H_GPIO_5_31,31,ro,0x0,
,C2H_GPIO_5_30,30,ro,0x0,
,C2H_GPIO_5_29,29,ro,0x0,
,C2H_GPIO_5_28,28,ro,0x0,
,C2H_GPIO_5_27,27,ro,0x0,
,C2H_GPIO_5_26,26,ro,0x0,
,C2H_GPIO_5_25,25,ro,0x0,
,C2H_GPIO_5_24,24,ro,0x0,
,C2H_GPIO_5_23,23,ro,0x0,
,C2H_GPIO_5_22,22,ro,0x0,
,C2H_GPIO_5_21,21,ro,0x0,
,C2H_GPIO_5_20,20,ro,0x0,
,C2H_GPIO_5_19,19,ro,0x0,
,C2H_GPIO_5_18,18,ro,0x0,
,C2H_GPIO_5_17,17,ro,0x0,
,C2H_GPIO_5_16,16,ro,0x0,
,C2H_GPIO_5_15,15,ro,0x0,
,C2H_GPIO_5_14,14,ro,0x0,
,C2H_GPIO_5_13,13,ro,0x0,
,C2H_GPIO_5_12,12,ro,0x0,
,C2H_GPIO_5_11,11,ro,0x0,
,C2H_GPIO_5_10,10,ro,0x0,
,C2H_GPIO_5_9,9,ro,0x0,
,C2H_GPIO_5_8,8,ro,0x0,
,C2H_GPIO_5_7,7,ro,0x0,
,C2H_GPIO_5_6,6,ro,0x0,
,C2H_GPIO_5_5,5,ro,0x0,
,C2H_GPIO_5_4,4,ro,0x0,
,C2H_GPIO_5_3,3,ro,0x0,
,C2H_GPIO_5_2,2,ro,0x0,
,C2H_GPIO_5_1,1,ro,0x0,
,C2H_GPIO_5_0,0,ro,0x0,
C2H_GPIO_6_REG,,,,,
,C2H_GPIO_6_31,31,ro,0x0,
,C2H_GPIO_6_30,30,ro,0x0,
,C2H_GPIO_6_29,29,ro,0x0,
,C2H_GPIO_6_28,28,ro,0x0,
,C2H_GPIO_6_27,27,ro,0x0,
,C2H_GPIO_6_26,26,ro,0x0,
,C2H_GPIO_6_25,25,ro,0x0,
,C2H_GPIO_6_24,24,ro,0x0,
,C2H_GPIO_6_23,23,ro,0x0,
,C2H_GPIO_6_22,22,ro,0x0,
,C2H_GPIO_6_21,21,ro,0x0,
,C2H_GPIO_6_20,20,ro,0x0,
,C2H_GPIO_6_19,19,ro,0x0,
,C2H_GPIO_6_18,18,ro,0x0,
,C2H_GPIO_6_17,17,ro,0x0,
,C2H_GPIO_6_16,16,ro,0x0,
,C2H_GPIO_6_15,15,ro,0x0,
,C2H_GPIO_6_14,14,ro,0x0,
,C2H_GPIO_6_13,13,ro,0x0,
,C2H_GPIO_6_12,12,ro,0x0,
,C2H_GPIO_6_11,11,ro,0x0,
,C2H_GPIO_6_10,10,ro,0x0,
,C2H_GPIO_6_9,9,ro,0x0,
,C2H_GPIO_6_8,8,ro,0x0,
,C2H_GPIO_6_7,7,ro,0x0,
,C2H_GPIO_6_6,6,ro,0x0,
,C2H_GPIO_6_5,5,ro,0x0,
,C2H_GPIO_6_4,4,ro,0x0,
,C2H_GPIO_6_3,3,ro,0x0,
,C2H_GPIO_6_2,2,ro,0x0,
,C2H_GPIO_6_1,1,ro,0x0,
,C2H_GPIO_6_0,0,ro,0x0,
C2H_GPIO_7_REG,,,,,
,C2H_GPIO_7_31,31,ro,0x0,
,C2H_GPIO_7_30,30,ro,0x0,
,C2H_GPIO_7_29,29,ro,0x0,
,C2H_GPIO_7_28,28,ro,0x0,
,C2H_GPIO_7_27,27,ro,0x0,
,C2H_GPIO_7_26,26,ro,0x0,
,C2H_GPIO_7_25,25,ro,0x0,
,C2H_GPIO_7_24,24,ro,0x0,
,C2H_GPIO_7_23,23,ro,0x0,
,C2H_GPIO_7_22,22,ro,0x0,
,C2H_GPIO_7_21,21,ro,0x0,
,C2H_GPIO_7_20,20,ro,0x0,
,C2H_GPIO_7_19,19,ro,0x0,
,C2H_GPIO_7_18,18,ro,0x0,
,C2H_GPIO_7_17,17,ro,0x0,
,C2H_GPIO_7_16,16,ro,0x0,
,C2H_GPIO_7_15,15,ro,0x0,
,C2H_GPIO_7_14,14,ro,0x0,
,C2H_GPIO_7_13,13,ro,0x0,
,C2H_GPIO_7_12,12,ro,0x0,
,C2H_GPIO_7_11,11,ro,0x0,
,C2H_GPIO_7_10,10,ro,0x0,
,C2H_GPIO_7_9,9,ro,0x0,
,C2H_GPIO_7_8,8,ro,0x0,
,C2H_GPIO_7_7,7,ro,0x0,
,C2H_GPIO_7_6,6,ro,0x0,
,C2H_GPIO_7_5,5,ro,0x0,
,C2H_GPIO_7_4,4,ro,0x0,
,C2H_GPIO_7_3,3,ro,0x0,
,C2H_GPIO_7_2,2,ro,0x0,
,C2H_GPIO_7_1,1,ro,0x0,
,C2H_GPIO_7_0,0,ro,0x0,
H2C_GPIO_0_REG,,,,,
,H2C_GPIO_0_31,31,rw,0x0,
,H2C_GPIO_0_30,30,rw,0x0,
,H2C_GPIO_0_29,29,rw,0x0,
,H2C_GPIO_0_28,28,rw,0x0,
,H2C_GPIO_0_27,27,rw,0x0,
,H2C_GPIO_0_26,26,rw,0x0,
,H2C_GPIO_0_25,25,rw,0x0,
,H2C_GPIO_0_24,24,rw,0x0,
,H2C_GPIO_0_23,23,rw,0x0,
,H2C_GPIO_0_22,22,rw,0x0,
,H2C_GPIO_0_21,21,rw,0x0,
,H2C_GPIO_0_20,20,rw,0x0,
,H2C_GPIO_0_19,19,rw,0x0,
,H2C_GPIO_0_18,18,rw,0x0,
,H2C_GPIO_0_17,17,rw,0x0,
,H2C_GPIO_0_16,16,rw,0x0,
,H2C_GPIO_0_15,15,rw,0x0,
,H2C_GPIO_0_14,14,rw,0x0,
,H2C_GPIO_0_13,13,rw,0x0,
,H2C_GPIO_0_12,12,rw,0x0,
,H2C_GPIO_0_11,11,rw,0x0,
,H2C_GPIO_0_10,10,rw,0x0,
,H2C_GPIO_0_9,9,rw,0x0,
,H2C_GPIO_0_8,8,rw,0x0,
,H2C_GPIO_0_7,7,rw,0x0,
,H2C_GPIO_0_6,6,rw,0x0,
,H2C_GPIO_0_5,5,rw,0x0,
,H2C_GPIO_0_4,4,rw,0x0,
,H2C_GPIO_0_3,3,rw,0x0,
,H2C_GPIO_0_2,2,rw,0x0,
,H2C_GPIO_0_1,1,rw,0x0,
,H2C_GPIO_0_0,0,rw,0x0,
H2C_GPIO_1_REG,,,,,
,H2C_GPIO_1_31,31,rw,0x0,
,H2C_GPIO_1_30,30,rw,0x0,
,H2C_GPIO_1_29,29,rw,0x0,
,H2C_GPIO_1_28,28,rw,0x0,
,H2C_GPIO_1_27,27,rw,0x0,
,H2C_GPIO_1_26,26,rw,0x0,
,H2C_GPIO_1_25,25,rw,0x0,
,H2C_GPIO_1_24,24,rw,0x0,
,H2C_GPIO_1_23,23,rw,0x0,
,H2C_GPIO_1_22,22,rw,0x0,
,H2C_GPIO_1_21,21,rw,0x0,
,H2C_GPIO_1_20,20,rw,0x0,
,H2C_GPIO_1_19,19,rw,0x0,
,H2C_GPIO_1_18,18,rw,0x0,
,H2C_GPIO_1_17,17,rw,0x0,
,H2C_GPIO_1_16,16,rw,0x0,
,H2C_GPIO_1_15,15,rw,0x0,
,H2C_GPIO_1_14,14,rw,0x0,
,H2C_GPIO_1_13,13,rw,0x0,
,H2C_GPIO_1_12,12,rw,0x0,
,H2C_GPIO_1_11,11,rw,0x0,
,H2C_GPIO_1_10,10,rw,0x0,
,H2C_GPIO_1_9,9,rw,0x0,
,H2C_GPIO_1_8,8,rw,0x0,
,H2C_GPIO_1_7,7,rw,0x0,
,H2C_GPIO_1_6,6,rw,0x0,
,H2C_GPIO_1_5,5,rw,0x0,
,H2C_GPIO_1_4,4,rw,0x0,
,H2C_GPIO_1_3,3,rw,0x0,
,H2C_GPIO_1_2,2,rw,0x0,
,H2C_GPIO_1_1,1,rw,0x0,
,H2C_GPIO_1_0,0,rw,0x0,
H2C_GPIO_2_REG,,,,,
,H2C_GPIO_2_31,31,rw,0x0,
,H2C_GPIO_2_30,30,rw,0x0,
,H2C_GPIO_2_29,29,rw,0x0,
,H2C_GPIO_2_28,28,rw,0x0,
,H2C_GPIO_2_27,27,rw,0x0,
,H2C_GPIO_2_26,26,rw,0x0,
,H2C_GPIO_2_25,25,rw,0x0,
,H2C_GPIO_2_24,24,rw,0x0,
,H2C_GPIO_2_23,23,rw,0x0,
,H2C_GPIO_2_22,22,rw,0x0,
,H2C_GPIO_2_21,21,rw,0x0,
,H2C_GPIO_2_20,20,rw,0x0,
,H2C_GPIO_2_19,19,rw,0x0,
,H2C_GPIO_2_18,18,rw,0x0,
,H2C_GPIO_2_17,17,rw,0x0,
,H2C_GPIO_2_16,16,rw,0x0,
,H2C_GPIO_2_15,15,rw,0x0,
,H2C_GPIO_2_14,14,rw,0x0,
,H2C_GPIO_2_13,13,rw,0x0,
,H2C_GPIO_2_12,12,rw,0x0,
,H2C_GPIO_2_11,11,rw,0x0,
,H2C_GPIO_2_10,10,rw,0x0,
,H2C_GPIO_2_9,9,rw,0x0,
,H2C_GPIO_2_8,8,rw,0x0,
,H2C_GPIO_2_7,7,rw,0x0,
,H2C_GPIO_2_6,6,rw,0x0,
,H2C_GPIO_2_5,5,rw,0x0,
,H2C_GPIO_2_4,4,rw,0x0,
,H2C_GPIO_2_3,3,rw,0x0,
,H2C_GPIO_2_2,2,rw,0x0,
,H2C_GPIO_2_1,1,rw,0x0,
,H2C_GPIO_2_0,0,rw,0x0,
H2C_GPIO_3_REG,,,,,
,H2C_GPIO_3_31,31,rw,0x0,
,H2C_GPIO_3_30,30,rw,0x0,
,H2C_GPIO_3_29,29,rw,0x0,
,H2C_GPIO_3_28,28,rw,0x0,
,H2C_GPIO_3_27,27,rw,0x0,
,H2C_GPIO_3_26,26,rw,0x0,
,H2C_GPIO_3_25,25,rw,0x0,
,H2C_GPIO_3_24,24,rw,0x0,
,H2C_GPIO_3_23,23,rw,0x0,
,H2C_GPIO_3_22,22,rw,0x0,
,H2C_GPIO_3_21,21,rw,0x0,
,H2C_GPIO_3_20,20,rw,0x0,
,H2C_GPIO_3_19,19,rw,0x0,
,H2C_GPIO_3_18,18,rw,0x0,
,H2C_GPIO_3_17,17,rw,0x0,
,H2C_GPIO_3_16,16,rw,0x0,
,H2C_GPIO_3_15,15,rw,0x0,
,H2C_GPIO_3_14,14,rw,0x0,
,H2C_GPIO_3_13,13,rw,0x0,
,H2C_GPIO_3_12,12,rw,0x0,
,H2C_GPIO_3_11,11,rw,0x0,
,H2C_GPIO_3_10,10,rw,0x0,
,H2C_GPIO_3_9,9,rw,0x0,
,H2C_GPIO_3_8,8,rw,0x0,
,H2C_GPIO_3_7,7,rw,0x0,
,H2C_GPIO_3_6,6,rw,0x0,
,H2C_GPIO_3_5,5,rw,0x0,
,H2C_GPIO_3_4,4,rw,0x0,
,H2C_GPIO_3_3,3,rw,0x0,
,H2C_GPIO_3_2,2,rw,0x0,
,H2C_GPIO_3_1,1,rw,0x0,
,H2C_GPIO_3_0,0,rw,0x0,
H2C_GPIO_4_REG,,,,,
,H2C_GPIO_4_31,31,rw,0x0,
,H2C_GPIO_4_30,30,rw,0x0,
,H2C_GPIO_4_29,29,rw,0x0,
,H2C_GPIO_4_28,28,rw,0x0,
,H2C_GPIO_4_27,27,rw,0x0,
,H2C_GPIO_4_26,26,rw,0x0,
,H2C_GPIO_4_25,25,rw,0x0,
,H2C_GPIO_4_24,24,rw,0x0,
,H2C_GPIO_4_23,23,rw,0x0,
,H2C_GPIO_4_22,22,rw,0x0,
,H2C_GPIO_4_21,21,rw,0x0,
,H2C_GPIO_4_20,20,rw,0x0,
,H2C_GPIO_4_19,19,rw,0x0,
,H2C_GPIO_4_18,18,rw,0x0,
,H2C_GPIO_4_17,17,rw,0x0,
,H2C_GPIO_4_16,16,rw,0x0,
,H2C_GPIO_4_15,15,rw,0x0,
,H2C_GPIO_4_14,14,rw,0x0,
,H2C_GPIO_4_13,13,rw,0x0,
,H2C_GPIO_4_12,12,rw,0x0,
,H2C_GPIO_4_11,11,rw,0x0,
,H2C_GPIO_4_10,10,rw,0x0,
,H2C_GPIO_4_9,9,rw,0x0,
,H2C_GPIO_4_8,8,rw,0x0,
,H2C_GPIO_4_7,7,rw,0x0,
,H2C_GPIO_4_6,6,rw,0x0,
,H2C_GPIO_4_5,5,rw,0x0,
,H2C_GPIO_4_4,4,rw,0x0,
,H2C_GPIO_4_3,3,rw,0x0,
,H2C_GPIO_4_2,2,rw,0x0,
,H2C_GPIO_4_1,1,rw,0x0,
,H2C_GPIO_4_0,0,rw,0x0,
H2C_GPIO_5_REG,,,,,
,H2C_GPIO_5_31,31,rw,0x0,
,H2C_GPIO_5_30,30,rw,0x0,
,H2C_GPIO_5_29,29,rw,0x0,
,H2C_GPIO_5_28,28,rw,0x0,
,H2C_GPIO_5_27,27,rw,0x0,
,H2C_GPIO_5_26,26,rw,0x0,
,H2C_GPIO_5_25,25,rw,0x0,
,H2C_GPIO_5_24,24,rw,0x0,
,H2C_GPIO_5_23,23,rw,0x0,
,H2C_GPIO_5_22,22,rw,0x0,
,H2C_GPIO_5_21,21,rw,0x0,
,H2C_GPIO_5_20,20,rw,0x0,
,H2C_GPIO_5_19,19,rw,0x0,
,H2C_GPIO_5_18,18,rw,0x0,
,H2C_GPIO_5_17,17,rw,0x0,
,H2C_GPIO_5_16,16,rw,0x0,
,H2C_GPIO_5_15,15,rw,0x0,
,H2C_GPIO_5_14,14,rw,0x0,
,H2C_GPIO_5_13,13,rw,0x0,
,H2C_GPIO_5_12,12,rw,0x0,
,H2C_GPIO_5_11,11,rw,0x0,
,H2C_GPIO_5_10,10,rw,0x0,
,H2C_GPIO_5_9,9,rw,0x0,
,H2C_GPIO_5_8,8,rw,0x0,
,H2C_GPIO_5_7,7,rw,0x0,
,H2C_GPIO_5_6,6,rw,0x0,
,H2C_GPIO_5_5,5,rw,0x0,
,H2C_GPIO_5_4,4,rw,0x0,
,H2C_GPIO_5_3,3,rw,0x0,
,H2C_GPIO_5_2,2,rw,0x0,
,H2C_GPIO_5_1,1,rw,0x0,
,H2C_GPIO_5_0,0,rw,0x0,
H2C_GPIO_6_REG,,,,,
,H2C_GPIO_6_31,31,rw,0x0,
,H2C_GPIO_6_30,30,rw,0x0,
,H2C_GPIO_6_29,29,rw,0x0,
,H2C_GPIO_6_28,28,rw,0x0,
,H2C_GPIO_6_27,27,rw,0x0,
,H2C_GPIO_6_26,26,rw,0x0,
,H2C_GPIO_6_25,25,rw,0x0,
,H2C_GPIO_6_24,24,rw,0x0,
,H2C_GPIO_6_23,23,rw,0x0,
,H2C_GPIO_6_22,22,rw,0x0,
,H2C_GPIO_6_21,21,rw,0x0,
,H2C_GPIO_6_20,20,rw,0x0,
,H2C_GPIO_6_19,19,rw,0x0,
,H2C_GPIO_6_18,18,rw,0x0,
,H2C_GPIO_6_17,17,rw,0x0,
,H2C_GPIO_6_16,16,rw,0x0,
,H2C_GPIO_6_15,15,rw,0x0,
,H2C_GPIO_6_14,14,rw,0x0,
,H2C_GPIO_6_13,13,rw,0x0,
,H2C_GPIO_6_12,12,rw,0x0,
,H2C_GPIO_6_11,11,rw,0x0,
,H2C_GPIO_6_10,10,rw,0x0,
,H2C_GPIO_6_9,9,rw,0x0,
,H2C_GPIO_6_8,8,rw,0x0,
,H2C_GPIO_6_7,7,rw,0x0,
,H2C_GPIO_6_6,6,rw,0x0,
,H2C_GPIO_6_5,5,rw,0x0,
,H2C_GPIO_6_4,4,rw,0x0,
,H2C_GPIO_6_3,3,rw,0x0,
,H2C_GPIO_6_2,2,rw,0x0,
,H2C_GPIO_6_1,1,rw,0x0,
,H2C_GPIO_6_0,0,rw,0x0,
H2C_GPIO_7_REG,,,,,
,H2C_GPIO_7_31,31,rw,0x0,
,H2C_GPIO_7_30,30,rw,0x0,
,H2C_GPIO_7_29,29,rw,0x0,
,H2C_GPIO_7_28,28,rw,0x0,
,H2C_GPIO_7_27,27,rw,0x0,
,H2C_GPIO_7_26,26,rw,0x0,
,H2C_GPIO_7_25,25,rw,0x0,
,H2C_GPIO_7_24,24,rw,0x0,
,H2C_GPIO_7_23,23,rw,0x0,
,H2C_GPIO_7_22,22,rw,0x0,
,H2C_GPIO_7_21,21,rw,0x0,
,H2C_GPIO_7_20,20,rw,0x0,
,H2C_GPIO_7_19,19,rw,0x0,
,H2C_GPIO_7_18,18,rw,0x0,
,H2C_GPIO_7_17,17,rw,0x0,
,H2C_GPIO_7_16,16,rw,0x0,
,H2C_GPIO_7_15,15,rw,0x0,
,H2C_GPIO_7_14,14,rw,0x0,
,H2C_GPIO_7_13,13,rw,0x0,
,H2C_GPIO_7_12,12,rw,0x0,
,H2C_GPIO_7_11,11,rw,0x0,
,H2C_GPIO_7_10,10,rw,0x0,
,H2C_GPIO_7_9,9,rw,0x0,
,H2C_GPIO_7_8,8,rw,0x0,
,H2C_GPIO_7_7,7,rw,0x0,
,H2C_GPIO_7_6,6,rw,0x0,
,H2C_GPIO_7_5,5,rw,0x0,
,H2C_GPIO_7_4,4,rw,0x0,
,H2C_GPIO_7_3,3,rw,0x0,
,H2C_GPIO_7_2,2,rw,0x0,
,H2C_GPIO_7_1,1,rw,0x0,
,H2C_GPIO_7_0,0,rw,0x0,
